﻿Kategoria;Kontroler/Moduł;"Opis Kontrolera";"Nazwa Testu (EN)";"Opis Testu (PL)";"Metoda PHPUnit";Status;"Typ Testu"
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_get_assignments_by_job;"Może get assignments Przez job";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_get_assignments_by_job";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";can_get_assignment_stats;"Może get Przypisanie Statystyki";"Tests\Feature\Api\JobAssignmentControllerTest::test_can_get_assignment_stats";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_job_assignments;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do job_assignments";"Tests\Feature\Api\JobAssignmentControllerTest::test_unauthenticated_user_cannot_access_job_assignments";"✅ Przechodzi";PHPUnit
"API Core";JobAssignmentControllerTest;"Opis niedostępny";worker_cannot_access_admin_job_assignments;"Pracownik Nie może Dostęp do Administrator job assignments";"Tests\Feature\Api\JobAssignmentControllerTest::test_worker_cannot_access_admin_job_assignments";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_list_jobs;"Administrator może wyświetlić listę zadania";"Tests\Feature\Api\JobControllerTest::test_admin_can_list_jobs";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_create_job;"Administrator może utworzyć job";"Tests\Feature\Api\JobControllerTest::test_admin_can_create_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_view_job;"Administrator może wyświetlić job";"Tests\Feature\Api\JobControllerTest::test_admin_can_view_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_update_job;"Administrator może zaktualizować job";"Tests\Feature\Api\JobControllerTest::test_admin_can_update_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_delete_pending_job;"Administrator może usunąć pending_job";"Tests\Feature\Api\JobControllerTest::test_admin_can_delete_pending_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_cannot_delete_active_job;"Administrator Nie może Usunięcie active job";"Tests\Feature\Api\JobControllerTest::test_admin_cannot_delete_active_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_assign_workers_to_job;"Administrator Może assign Pracownicy Do job";"Tests\Feature\Api\JobControllerTest::test_admin_can_assign_workers_to_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_complete_job;"Administrator Może complete job";"Tests\Feature\Api\JobControllerTest::test_admin_can_complete_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";admin_can_cancel_job;"Administrator Może cancel job";"Tests\Feature\Api\JobControllerTest::test_admin_can_cancel_job";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";manager_can_access_job_management;"Menedżer może uzyskać dostęp do job_zarządzania";"Tests\Feature\Api\JobControllerTest::test_manager_can_access_job_management";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";worker_cannot_create_jobs;"Pracownik Nie może Utworzenie Zadania";"Tests\Feature\Api\JobControllerTest::test_worker_cannot_create_jobs";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";worker_can_view_assigned_jobs;"Pracownik Może Podgląd assigned Zadania";"Tests\Feature\Api\JobControllerTest::test_worker_can_view_assigned_jobs";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_jobs;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do zadania";"Tests\Feature\Api\JobControllerTest::test_unauthenticated_user_cannot_access_jobs";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";job_creation_validates_required_fields;"Tworzenie job waliduje wymagane pola";"Tests\Feature\Api\JobControllerTest::test_job_creation_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";job_creation_validates_future_scheduled_date;"Job creation Waliduje future scheduled date";"Tests\Feature\Api\JobControllerTest::test_job_creation_validates_future_scheduled_date";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";job_search_functionality;"Job Wyszukiwanie Funkcjonalność";"Tests\Feature\Api\JobControllerTest::test_job_search_functionality";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";job_filtering_by_status;"Job filtering Przez Status";"Tests\Feature\Api\JobControllerTest::test_job_filtering_by_status";"✅ Przechodzi";PHPUnit
"API Core";JobControllerTest;"Opis niedostępny";job_filtering_by_location;"Job filtering Przez location";"Tests\Feature\Api\JobControllerTest::test_job_filtering_by_location";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_can_list_locations;"Administrator może wyświetlić listę lokalizacje";"Tests\Feature\Api\LocationControllerTest::test_admin_can_list_locations";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_can_create_location;"Administrator może utworzyć location";"Tests\Feature\Api\LocationControllerTest::test_admin_can_create_location";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_can_view_location;"Administrator może wyświetlić location";"Tests\Feature\Api\LocationControllerTest::test_admin_can_view_location";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_can_update_location;"Administrator może zaktualizować location";"Tests\Feature\Api\LocationControllerTest::test_admin_can_update_location";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_can_delete_location;"Administrator może usunąć location";"Tests\Feature\Api\LocationControllerTest::test_admin_can_delete_location";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";admin_cannot_create_location_with_invalid_data;"Administrator Nie może Utworzenie location Z Nieprawidłowy data";"Tests\Feature\Api\LocationControllerTest::test_admin_cannot_create_location_with_invalid_data";"✅ Przechodzi";PHPUnit
"API Core";LocationControllerTest;"Opis niedostępny";non_admin_cannot_access_locations;"Non Administrator Nie może Dostęp do Lokalizacje";"Tests\Feature\Api\LocationControllerTest::test_non_admin_cannot_access_locations";"✅ Przechodzi";PHPUnit
"API Core";QuotaEnforcementTest;"Egzekwowanie limitów tenant";quota_enforcement_blocks_creation_over_limit;"Limit Wymuszanie blocks creation over limit";"Tests\Feature\Api\QuotaEnforcementTest::test_quota_enforcement_blocks_creation_over_limit";"✅ Przechodzi";PHPUnit
"API Core";QuotaEnforcementTest;"Egzekwowanie limitów tenant";quota_enforcement_allows_creation_within_limit;"Limit Wymuszanie Pozwala creation within limit";"Tests\Feature\Api\QuotaEnforcementTest::test_quota_enforcement_allows_creation_within_limit";"✅ Przechodzi";PHPUnit
"API Core";QuotaEnforcementTest;"Egzekwowanie limitów tenant";unlimited_quota_allows_any_creation;"Unlimited Limit Pozwala any creation";"Tests\Feature\Api\QuotaEnforcementTest::test_unlimited_quota_allows_any_creation";"✅ Przechodzi";PHPUnit
"API Core";QuotaEnforcementTest;"Egzekwowanie limitów tenant";quota_usage_tracking;"Limit usage tracking";"Tests\Feature\Api\QuotaEnforcementTest::test_quota_usage_tracking";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";can_list_all_sectors;"Może Lista Wszystkie Sektory";"Tests\Feature\Api\SectorControllerTest::test_can_list_all_sectors";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";can_filter_sectors_by_active_status;"Można filtrować sektory według active_statusu";"Tests\Feature\Api\SectorControllerTest::test_can_filter_sectors_by_active_status";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";can_search_sectors;"Można wyszukiwać sektory";"Tests\Feature\Api\SectorControllerTest::test_can_search_sectors";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";admin_can_create_sector;"Administrator może utworzyć sector";"Tests\Feature\Api\SectorControllerTest::test_admin_can_create_sector";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";admin_can_view_sector;"Administrator może wyświetlić sector";"Tests\Feature\Api\SectorControllerTest::test_admin_can_view_sector";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";admin_can_update_sector;"Administrator może zaktualizować sector";"Tests\Feature\Api\SectorControllerTest::test_admin_can_update_sector";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";admin_can_delete_sector_without_associations;"Administrator może usunąć sector_without_associations";"Tests\Feature\Api\SectorControllerTest::test_admin_can_delete_sector_without_associations";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";cannot_delete_sector_with_associations;"Nie może Usunięcie sector Z associations";"Tests\Feature\Api\SectorControllerTest::test_cannot_delete_sector_with_associations";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";cannot_create_sector_with_duplicate_code;"Nie może Utworzenie sector Z duplicate code";"Tests\Feature\Api\SectorControllerTest::test_cannot_create_sector_with_duplicate_code";"✅ Przechodzi";PHPUnit
"API Core";SectorControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_sectors;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do sektory";"Tests\Feature\Api\SectorControllerTest::test_unauthenticated_user_cannot_access_sectors";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";can_list_all_skills;"Może Lista Wszystkie Umiejętności";"Tests\Feature\Api\SkillControllerTest::test_can_list_all_skills";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";can_filter_skills_by_active_status;"Można filtrować umiejętności według active_statusu";"Tests\Feature\Api\SkillControllerTest::test_can_filter_skills_by_active_status";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";can_filter_skills_by_skill_type;"Można filtrować umiejętności według skill_typu";"Tests\Feature\Api\SkillControllerTest::test_can_filter_skills_by_skill_type";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";can_search_skills;"Można wyszukiwać umiejętności";"Tests\Feature\Api\SkillControllerTest::test_can_search_skills";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";admin_can_create_skill;"Administrator może utworzyć skill";"Tests\Feature\Api\SkillControllerTest::test_admin_can_create_skill";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";admin_can_view_skill;"Administrator może wyświetlić skill";"Tests\Feature\Api\SkillControllerTest::test_admin_can_view_skill";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";admin_can_update_skill;"Administrator może zaktualizować skill";"Tests\Feature\Api\SkillControllerTest::test_admin_can_update_skill";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";admin_can_delete_skill_without_workers;"Administrator może usunąć skill_without_pracowników";"Tests\Feature\Api\SkillControllerTest::test_admin_can_delete_skill_without_workers";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";cannot_delete_skill_with_associated_workers;"Nie może Usunięcie skill Z associated Pracownicy";"Tests\Feature\Api\SkillControllerTest::test_cannot_delete_skill_with_associated_workers";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";cannot_create_skill_with_duplicate_name;"Nie może Utworzenie skill Z duplicate name";"Tests\Feature\Api\SkillControllerTest::test_cannot_create_skill_with_duplicate_name";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";validates_skill_type_on_create;"Waliduje skill type on create";"Tests\Feature\Api\SkillControllerTest::test_validates_skill_type_on_create";"✅ Przechodzi";PHPUnit
"API Core";SkillControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_skills;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do umiejętności";"Tests\Feature\Api\SkillControllerTest::test_unauthenticated_user_cannot_access_skills";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_list_tenants;"Administrator może wyświetlić listę tenants";"Tests\Feature\Api\TenantControllerTest::test_admin_can_list_tenants";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_create_tenant;"Administrator może utworzyć tenant";"Tests\Feature\Api\TenantControllerTest::test_admin_can_create_tenant";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_view_tenant;"Administrator może wyświetlić tenant";"Tests\Feature\Api\TenantControllerTest::test_admin_can_view_tenant";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_update_tenant;"Administrator może zaktualizować tenant";"Tests\Feature\Api\TenantControllerTest::test_admin_can_update_tenant";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_cannot_delete_tenant_with_users;"Administrator Nie może Usunięcie Klient (tenant) Z Użytkownicy";"Tests\Feature\Api\TenantControllerTest::test_admin_cannot_delete_tenant_with_users";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_delete_empty_tenant;"Administrator może usunąć empty_tenant";"Tests\Feature\Api\TenantControllerTest::test_admin_can_delete_empty_tenant";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";admin_can_view_tenant_stats;"Administrator może wyświetlić tenant_statystyki";"Tests\Feature\Api\TenantControllerTest::test_admin_can_view_tenant_stats";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";manager_cannot_access_tenant_management;"Menedżer Nie może Dostęp do Klient (tenant) Zarządzanie";"Tests\Feature\Api\TenantControllerTest::test_manager_cannot_access_tenant_management";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";worker_cannot_access_tenant_management;"Pracownik Nie może Dostęp do Klient (tenant) Zarządzanie";"Tests\Feature\Api\TenantControllerTest::test_worker_cannot_access_tenant_management";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_tenants;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do tenants";"Tests\Feature\Api\TenantControllerTest::test_unauthenticated_user_cannot_access_tenants";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";tenant_creation_validates_required_fields;"Tworzenie tenant waliduje wymagane pola";"Tests\Feature\Api\TenantControllerTest::test_tenant_creation_validates_required_fields";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";tenant_creation_validates_invalid_sector;"Klient (tenant) creation Waliduje Nieprawidłowy sector";"Tests\Feature\Api\TenantControllerTest::test_tenant_creation_validates_invalid_sector";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";tenant_search_functionality;"Klient (tenant) Wyszukiwanie Funkcjonalność";"Tests\Feature\Api\TenantControllerTest::test_tenant_search_functionality";"✅ Przechodzi";PHPUnit
"API Core";TenantControllerTest;"Opis niedostępny";tenant_filtering_by_sector;"Klient (tenant) filtering Przez sector";"Tests\Feature\Api\TenantControllerTest::test_tenant_filtering_by_sector";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";admin_can_view_all_users;"Administrator może wyświetlić all_użytkowników";"Tests\Feature\Api\UserControllerTest::test_admin_can_view_all_users";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";manager_can_view_users;"Menedżer Może Podgląd Użytkownicy";"Tests\Feature\Api\UserControllerTest::test_manager_can_view_users";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";worker_cannot_create_users;"Pracownik Nie może Utworzenie Użytkownicy";"Tests\Feature\Api\UserControllerTest::test_worker_cannot_create_users";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";admin_can_create_user;"Administrator może utworzyć user";"Tests\Feature\Api\UserControllerTest::test_admin_can_create_user";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";admin_can_update_user;"Administrator może zaktualizować user";"Tests\Feature\Api\UserControllerTest::test_admin_can_update_user";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";admin_can_delete_user;"Administrator może usunąć user";"Tests\Feature\Api\UserControllerTest::test_admin_can_delete_user";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";user_cannot_access_different_tenant_users;"Użytkownik Nie może Dostęp do Różny Klient (tenant) Użytkownicy";"Tests\Feature\Api\UserControllerTest::test_user_cannot_access_different_tenant_users";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";unauthenticated_user_cannot_access_users;"Nieuwierzytelniony użytkownik nie może uzyskać dostępu do użytkowników";"Tests\Feature\Api\UserControllerTest::test_unauthenticated_user_cannot_access_users";"✅ Przechodzi";PHPUnit
"API Core";UserControllerTest;"Opis niedostępny";user_can_view_own_profile;"Użytkownik Może Podgląd own profile";"Tests\Feature\Api\UserControllerTest::test_user_can_view_own_profile";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";admin_can_list_audit_logs;"Administrator może wyświetlić listę audit_logs";"Tests\Feature\Api\V1\AuditLogControllerTest::test_admin_can_list_audit_logs";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";manager_can_list_audit_logs;"Menedżer Może Lista Logi audytu";"Tests\Feature\Api\V1\AuditLogControllerTest::test_manager_can_list_audit_logs";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";worker_cannot_access_audit_logs;"Pracownik Nie może Dostęp do Logi audytu";"Tests\Feature\Api\V1\AuditLogControllerTest::test_worker_cannot_access_audit_logs";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_show_single_audit_log;"Może Wyświetlenie Pojedynczy audit log";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_show_single_audit_log";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";cannot_show_audit_log_from_different_tenant;"Nie może Wyświetlenie audit log Z Różny tenant";"Tests\Feature\Api\V1\AuditLogControllerTest::test_cannot_show_audit_log_from_different_tenant";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_create_audit_log;"Może Utworzenie audit log";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_create_audit_log";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";admin_can_delete_audit_log;"Administrator może usunąć audit_log";"Tests\Feature\Api\V1\AuditLogControllerTest::test_admin_can_delete_audit_log";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";manager_cannot_delete_audit_log;"Menedżer Nie może Usunięcie audit log";"Tests\Feature\Api\V1\AuditLogControllerTest::test_manager_cannot_delete_audit_log";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_get_audit_statistics;"Może get audit Statystyki";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_get_audit_statistics";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_get_user_activity;"Może get Użytkownik activity";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_get_user_activity";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_get_model_history;"Może get model history";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_get_model_history";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_search_audit_logs;"Można wyszukiwać audit_logs";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_search_audit_logs";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";validates_required_fields_on_create;"Waliduje Wymagane pola on create";"Tests\Feature\Api\V1\AuditLogControllerTest::test_validates_required_fields_on_create";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_filter_logs_by_action;"Można filtrować logs według action";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_filter_logs_by_action";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";can_filter_logs_by_user;"Można filtrować logs według user";"Tests\Feature\Api\V1\AuditLogControllerTest::test_can_filter_logs_by_user";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";requires_authentication;"Requires authentication";"Tests\Feature\Api\V1\AuditLogControllerTest::test_requires_authentication";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";lists_only_tenant_audit_logs;"Lists only Klient (tenant) Logi audytu";"Tests\Feature\Api\V1\AuditLogControllerTest::test_lists_only_tenant_audit_logs";"✅ Przechodzi";PHPUnit
"API V1";AuditLogControllerTest;"Opis niedostępny";update_returns_forbidden;"Aktualizacja Zwraca forbidden";"Tests\Feature\Api\V1\AuditLogControllerTest::test_update_returns_forbidden";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";admin_can_list_certifications;"Administrator może wyświetlić listę certyfikaty";"Tests\Feature\Api\V1\CertificationControllerTest::test_admin_can_list_certifications";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";manager_can_list_certifications;"Menedżer Może Lista Certyfikaty";"Tests\Feature\Api\V1\CertificationControllerTest::test_manager_can_list_certifications";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";worker_cannot_access_certifications;"Pracownik Nie może Dostęp do Certyfikaty";"Tests\Feature\Api\V1\CertificationControllerTest::test_worker_cannot_access_certifications";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_show_single_certification;"Może Wyświetlenie Pojedynczy certification";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_show_single_certification";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";cannot_show_certification_from_different_tenant;"Nie może Wyświetlenie Certyfikat Z Różny tenant";"Tests\Feature\Api\V1\CertificationControllerTest::test_cannot_show_certification_from_different_tenant";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_create_certification;"Może Utworzenie certification";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_create_certification";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_update_certification;"Może Aktualizacja certification";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_update_certification";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";admin_can_delete_certification;"Administrator może usunąć certification";"Tests\Feature\Api\V1\CertificationControllerTest::test_admin_can_delete_certification";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";manager_cannot_delete_certification;"Menedżer Nie może Usunięcie certification";"Tests\Feature\Api\V1\CertificationControllerTest::test_manager_cannot_delete_certification";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";cannot_delete_certification_assigned_to_workers;"Nie może Usunięcie Certyfikat assigned Do Pracownicy";"Tests\Feature\Api\V1\CertificationControllerTest::test_cannot_delete_certification_assigned_to_workers";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_get_certification_statistics;"Może get Certyfikat Statystyki";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_get_certification_statistics";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_get_certification_workers;"Może get Certyfikat Pracownicy";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_get_certification_workers";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_search_certifications;"Można wyszukiwać certyfikaty";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_search_certifications";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_filter_certifications_by_authority;"Można filtrować certyfikaty według authority";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_filter_certifications_by_authority";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";can_filter_certifications_by_status;"Można filtrować certyfikaty według statusu";"Tests\Feature\Api\V1\CertificationControllerTest::test_can_filter_certifications_by_status";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";validates_required_fields_on_create;"Waliduje Wymagane pola on create";"Tests\Feature\Api\V1\CertificationControllerTest::test_validates_required_fields_on_create";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";validates_validity_period_range;"Waliduje validity period range";"Tests\Feature\Api\V1\CertificationControllerTest::test_validates_validity_period_range";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";requires_authentication;"Requires authentication";"Tests\Feature\Api\V1\CertificationControllerTest::test_requires_authentication";"✅ Przechodzi";PHPUnit
"API V1";CertificationControllerTest;"Opis niedostępny";lists_only_tenant_certifications;"Lists only Klient (tenant) Certyfikaty";"Tests\Feature\Api\V1\CertificationControllerTest::test_lists_only_tenant_certifications";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_list_notifications;"Może Lista Powiadomienia";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_list_notifications";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_show_single_notification;"Może Wyświetlenie Pojedynczy notification";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_show_single_notification";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";cannot_show_notification_from_different_tenant;"Nie może Wyświetlenie Powiadomienie Z Różny tenant";"Tests\Feature\Api\V1\NotificationControllerTest::test_cannot_show_notification_from_different_tenant";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_create_notification;"Może Utworzenie notification";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_create_notification";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_delete_notification;"Może Usunięcie notification";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_delete_notification";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";cannot_delete_notification_from_different_tenant;"Nie może Usunięcie Powiadomienie Z Różny tenant";"Tests\Feature\Api\V1\NotificationControllerTest::test_cannot_delete_notification_from_different_tenant";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_mark_notification_as_read;"Może mark Powiadomienie as read";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_mark_notification_as_read";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_mark_all_notifications_as_read;"Może mark Wszystkie Powiadomienia as read";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_mark_all_notifications_as_read";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_get_notification_stats;"Może get Powiadomienie Statystyki";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_get_notification_stats";"✅ Przechodzi";PHPUnit
"API V1";NotificationControllerTest;"Opis niedostępny";can_get_unread_count;"Może get unread count";"Tests\Feature\Api\V1\NotificationControllerTest::test_can_get_unread_count";"✅ Przechodzi";PHPUnit
